strategy,num_urgent,rule,replication,elAppWT,elScanWT,urScanWT,OT,OV
S1,11,4,23,4.995570022505017,0.0752626259584185,3.267884612251321,1.2422581432343933,0.3928338260983909
S1,11,4,24,5.372083682173635,0.07749418893066999,3.264516196995963,1.2289580253246644,0.3947007104728072
S1,11,4,25,5.130768235603315,0.07408460751827971,3.2886519215158483,1.264953150899028,0.39594605617400286
S1,11,4,26,4.586619621254155,0.07467248485840804,3.3639931194980663,1.2422764229010033,0.4010783205469329
S1,11,4,27,4.965124507342123,0.075302626645318,3.2952884800505493,1.2113969874335522,0.3956974769937641
S1,11,4,28,5.043268688255169,0.07691042544035918,3.2536572148789857,1.2402133447812478,0.3915369247975966
S1,11,4,29,4.937427224957147,0.07618022740522314,3.475999757594746,1.2574296729099133,0.41561164305590714
S1,12,1,0,4.425928711274659,0.07561642628889458,3.116855695105664,1.2497671806678128,0.3726621132137721
S1,12,1,1,5.1440887273341565,0.07651958344666235,3.18585683128074,1.2508663397143733,0.38460366812246805
S1,12,1,2,5.567772383652091,0.0738036951821145,3.3004868226678052,1.2720481609969203,0.39986226035784395
S1,12,1,3,5.035969063493732,0.07482908128077094,3.1554708862181795,1.2128672632267217,0.3805838825767842
S1,12,1,4,4.78794404238945,0.0740745535406715,3.189540730405666,1.2214085794254799,0.38289308140850326
S1,12,1,5,4.908643059801662,0.07675485224774613,3.308487903314938,1.2951125252023001,0.39682788048619344
S1,12,1,6,5.715736953501954,0.07653824010041291,3.226227395325864,1.295865775921246,0.3924919543626076
S1,12,1,7,5.133545526331131,0.07465097033640587,3.071012038928707,1.2659883654191038,0.3717803784900813
S1,12,1,8,5.118650887783722,0.07776418583411401,3.2095777547862716,1.14551992583816,0.3870879105781396
S1,12,1,9,5.057413018351152,0.074689147844589,3.1363642550016064,1.289207261135761,0.37858856614115755
S1,12,1,10,5.392404022847715,0.07507127573847243,3.1186214548160422,1.2522529566886373,0.3786111379727014
S1,12,1,11,5.00352059020403,0.0755488559269177,3.156771761748833,1.2847740128989231,0.38053527862806885
S1,12,1,12,5.1079432461260685,0.07355085533865344,3.142406117383058,1.2285636370925948,0.37956065934886796
S1,12,1,13,5.527922064528801,0.07810892935136707,3.1719766162688567,1.3096903894429985,0.38534614425524283
S1,12,1,14,5.190497256085567,0.0766477331051238,3.0457802528524884,1.2494573627132046,0.36931584509523024
S1,12,1,15,5.19491931429411,0.07542287061090677,3.105147218368723,1.2641713477145742,0.37593849637208493
S1,12,1,16,5.467491744681052,0.07667475140102316,3.1473861242890835,1.2382510856712123,0.38225416308379334
S1,12,1,17,5.048643050164857,0.07938343279819235,3.161888242000494,1.2183952784097736,0.3813723625050044
S1,12,1,18,5.002460876319136,0.07622659357474858,3.25698440308,1.3250750420719262,0.3916637087330107
S1,12,1,19,5.0024912477017525,0.0778089221632748,3.173955200734149,1.2564147196622195,0.38243842258773336
S1,12,1,20,5.234822715301515,0.07489421956753711,3.125863251896736,1.2510415593211768,0.3784777981192892
S1,12,1,21,4.86030883489624,0.07408890552267995,3.223230778619515,1.280031473674549,0.3870671629114713
S1,12,1,22,4.766068734947073,0.07863258066977896,3.1992598485288415,1.2808894780958775,0.3838427732588419
S1,12,1,23,5.233695555629865,0.07407417445943071,3.1607690647606166,1.2436991024234596,0.38234951248707166
S1,12,1,24,5.621509532894823,0.07673784836637144,3.1270747484615193,1.2303051775675957,0.3809141160962888
S1,12,1,25,5.314267363002975,0.07320952774026666,3.1915552578696316,1.2706872848964246,0.38624979470180215
S1,12,1,26,4.773132685724451,0.07507643569957703,3.2484008135043494,1.2458932800020728,0.38934492780439867
S1,12,1,27,5.1862644477930075,0.07545055536146801,3.196888535058656,1.2152046169109285,0.38608045894179316
S1,12,1,28,5.269111776326494,0.07676337502331393,3.1259048194460917,1.241354772739169,0.37868651828960437
S1,12,1,29,5.179421706349536,0.07597996981027345,3.3728158619162207,1.2635523183497006,0.4055872090999146
S1,12,2,0,4.880334595307813,0.14174918794471392,3.0517921895175353,1.1747707166071635,0.36813763174385994
S1,12,2,1,5.557369482210587,0.1471303809156256,3.1201803026909114,1.1845562608298659,0.37976628055024364
